science_decreases_jobs,trust_neighbours,trust_government,trust_scientists,trust_journalists,trust_doctors,trust_ngos,trust_trad_healers,age,gender,education,hh_income,subj_income,emp_status
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,76,Female,Tertiary,Fourth 20%,Getting by on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,65,Female,Tertiary,Richest 20%,Living comfortable on present income,Out of workforce
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,20,Male,Secondary (8-15 years),Poorest 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,31,Male,Tertiary,Second 20%,Getting by on present income,Out of workforce
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,78,Male,Secondary (8-15 years),Richest 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,67,Female,Tertiary,Second 20%,Finding it difficult on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,62,Male,Tertiary,Middle 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,66,Male,Secondary (8-15 years),Richest 20%,Living comfortable on present income,Employed full time for self
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,40,Female,Secondary (8-15 years),Poorest 20%,Getting by on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,89,Female,Secondary (8-15 years),Second 20%,Getting by on present income,Out of workforce
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,61,Male,Tertiary,Fourth 20%,Getting by on present income,Employed full time for self
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,32,Male,Tertiary,Richest 20%,Living comfortable on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,22,Male,Secondary (8-15 years),Second 20%,Living comfortable on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,80,Female,Tertiary,Middle 20%,Living comfortable on present income,Employed full time for an employer
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,72,Male,Tertiary,Fourth 20%,Living comfortable on present income,Out of workforce
FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,52,Female,Tertiary,Second 20%,Living comfortable on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,57,Male,Tertiary,Poorest 20%,Finding it difficult on present income,Employed full time for an employer
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,77,Female,Elementary or less (8 years or less),Second 20%,Getting by on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,77,Female,Secondary (8-15 years),Middle 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,20,Female,Secondary (8-15 years),Richest 20%,Living comfortable on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,76,Male,Tertiary,Richest 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,71,Male,Tertiary,Middle 20%,Living comfortable on present income,Employed part time do not want full time
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,70,Male,Tertiary,Middle 20%,Living comfortable on present income,Employed part time want full time
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,50,Female,Secondary (8-15 years),Fourth 20%,Living comfortable on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,56,Male,Tertiary,Fourth 20%,Living comfortable on present income,Employed full time for an employer
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,70,Male,Tertiary,Richest 20%,Living comfortable on present income,Employed part time do not want full time
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,68,Male,Tertiary,Richest 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,72,Male,Tertiary,Middle 20%,Finding it difficult on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,62,Male,Tertiary,Richest 20%,Living comfortable on present income,Out of workforce
FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,56,Female,Elementary or less (8 years or less),Poorest 20%,Getting by on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,90,Male,Tertiary,Richest 20%,Living comfortable on present income,Out of workforce
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,28,Male,Secondary (8-15 years),Middle 20%,Living comfortable on present income,Employed full time for an employer
TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,65,Male,Secondary (8-15 years),Poorest 20%,Finding it very difficult on present income,Employed part time do not want full time
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,36,Male,Tertiary,Middle 20%,Living comfortable on present income,Employed full time for an employer
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,66,Male,Tertiary,Richest 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,69,Female,Tertiary,Second 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,37,Male,Tertiary,Richest 20%,Living comfortable on present income,Employed full time for an employer
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,58,Male,Tertiary,Fourth 20%,Living comfortable on present income,Employed part time do not want full time
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,55,Female,Tertiary,Richest 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,84,Female,Secondary (8-15 years),Second 20%,Getting by on present income,Out of workforce
