Area code, population_density, pct_age_16_64, modelled_unemployment_rate, gdhi_per_head, median_weekly_pay, inward_fdi, active_businesses, business_births   , business_deaths   , high_growth_businesses, cancer_stage1_2   , gigabit_broadband, coverage_4g, coverage_5g, premises_below_30mbps, travel_time_bike  , travel_time_car  , travel_time_pt_walk, Area name
E09000022,            12292.0,         76.16,                        5.3,       29543.0,             634.8,           ,           16180.0, 14.493201483312731, 11.990111248454882,     5.7034220532319395,                   ,              91.7,      100.0 ,      100.0 ,                   0.9,  7.10624199610627 ,  6.52266039220525,    6.11983558345968, Lambeth
E09000023,             8704.0,         70.91,                        4.7,       24103.0,             552.0,           ,           11805.0, 15.713680643795003, 12.28293096145701 ,     2.7522935779816518,                   ,              90.0,      100.0 ,      100.0 ,                   1.1,  7.99555367461692 ,  7.15825545256455,    8.76061272437319, Lewisham
E09000024,             5773.0,         67.8 ,                        4.3,       30383.0,             578.9,           ,           12870.0, 13.752913752913754, 11.188811188811188,     3.8461538461538463,                   ,              95.0,      100.0 ,      100.0 ,                   0.4,  7.81019107041548 ,  6.90640312675366,    8.04140775737272, Merton
E09000025,             9664.0,         71.0 ,                        4.8,       20959.0,             517.5,           ,           15865.0, 20.296249606051056, 20.296249606051056,     4.929577464788732 , 49.48276          ,              91.5,      100.0 ,      100.0 ,                   0.6,  7.34754446662367 ,  6.61819312435861,    7.02636978524889, Newham
E09000026,             5528.0,         65.76,                        4.3,       22885.0,             565.6,           ,           16870.0, 16.56787196206283 , 12.537048014226437,     3.8461538461538463,                   ,              93.1,      100.0 ,      100.0 ,                   0.9,  7.63275793667258 ,  6.7518322255256 ,    7.70084365751109, Redbridge
E09000027,             3453.0,         63.94,                        2.6,       41271.0,             721.1,           ,           15055.0, 11.922949186316838, 10.029890401859848,     4.864864864864865 ,                   ,              90.4,      100.0 ,      100.0 ,                   1.0,  7.317088180502   ,  6.60805814872693,    6.83889040708237, Richmond upon Thames
E09000028,            10825.0,         74.6 ,                        4.8,       29248.0,             628.0,           ,           18755.0, 14.102905891762196, 10.423886963476406,     7.239819004524888 ,                   ,              89.7,      100.0 ,      100.0 ,                   2.9,  7.12039215573117 ,  6.5343468010618 ,    6.12206345336499, Southwark
E09000029,             4756.0,         64.01,                        4.2,       23601.0,             549.0,           ,            9870.0, 14.133738601823708, 10.081053698074975,     3.508771929824561 ,                   ,              91.7,      100.0 ,      100.0 ,                   1.0,  8.06092810862448 ,  6.96097031668342,    8.98359711524699, Sutton
E09000030,            15430.0,         75.47,                        5.4,       28649.0,             688.9,           ,           19765.0, 15.27953453073615 , 12.218568176068809,     6.434316353887399 , 56.026790000000005,              86.9,      100.0 ,      100.0 ,                   2.9,  6.57872853485517 ,  6.15065956304002,    4.35089142886322, Tower Hamlets
E09000031,             7241.0,         69.3 ,                        5.2,       23069.0,             574.9,           ,           13745.0, 18.297562750090943, 12.440887595489269,     3.0534351145038165,                   ,              93.6,      100.0 ,      100.0 ,                   1.2,  7.46374605684633 ,  6.72771808493202,    7.24801941780039, Waltham Forest
