dim_1,dim_2,category
-0.5588312953452345,-0.17505484827185705,avoid_transport_fare_n
0.6452985410711888,0.20214085921491118,avoid_transport_fare_y
-0.4164997769612358,-0.21057286379713305,stealing_property_n
1.157444666375844,0.5851778357811203,stealing_property_y
-0.5157865786066138,-0.2301772893343588,cheating_taxes_n
0.8942324737284658,0.3990642939831092,cheating_taxes_y
-0.45801102028449586,-0.23419410003063287,accept_bribes_n
1.0420363280931206,0.5328228999936034,accept_bribes_y
-0.5501819719191138,0.5115301452748587,homosexuality_n
0.6080971569408431,-0.5653766261120468,homosexuality_y
-0.6438832680319442,0.2828249663058636,sex_work_n
0.7716569507792012,-0.33894940580015553,sex_work_y
-0.5651214315412946,0.4452829311893947,abortion_n
0.6339000227816641,-0.4994764743846261,abortion_y
-0.2721060485610138,0.4750620453630161,divorce_n
0.3879977531588853,-0.6773940057072447,divorce_y
-0.449431764882356,0.6460170714404867,sex_before_marriage_n
0.4648314335118452,-0.6681526871369555,sex_before_marriage_y
-0.6024963217656759,0.12752278512685233,suicide_n
0.881595966038786,-0.18659628098035508,suicide_y
-0.5784206008055113,0.4287751660373155,euthanasia_n
0.5992310513073668,-0.44420166425839813,euthanasia_y
-0.35234975886719594,-0.26170199732356386,violence_against_spouse_n
1.0574380680856548,0.7853947604608699,violence_against_spouse_y
-0.42329296895447555,-0.33917347430175326,violence_against_child_n
0.4817556663945713,0.3860180894079846,violence_against_child_y
-0.48022485775005513,-0.23212903471581578,social_violence_n
1.0362086611067782,0.5008781040486333,social_violence_y
-0.36859326801683967,-0.23313962920691064,terrorism_n
1.2016130544313328,0.7600345591430444,terrorism_y
-0.5504985781954462,0.3857839524612564,casual_sex_n
0.7017913782543653,-0.4918084486134887,casual_sex_y
-0.4601040725207062,-0.19937524209482843,political_violence_n
1.0733809824199747,0.4651243186297572,political_violence_y
-0.29415782033835136,0.14064058987444264,death_penalty_n
0.320646892481142,-0.1533053516920805,death_penalty_y
